City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Pecos,31.4229,-103.4932,85.03,5,40,6.91,US,2022-04-18 02:17:21
68,Kaitangata,-46.2817,169.8464,59.22,56,11,3.85,NZ,2022-04-18 02:17:21
69,Darhan,49.4867,105.9228,56.93,25,16,16.17,MN,2022-04-18 02:17:22
70,Marystown,47.1666,-55.1483,41.58,98,100,15.01,CA,2022-04-18 02:17:22
71,Paramonga,-10.6667,-77.8333,66.92,84,53,7.63,PE,2022-04-18 02:17:22
72,Ambovombe,-25.1667,46.0833,71.64,89,97,5.48,MG,2022-04-18 02:17:23
73,Castro,-24.7911,-50.0119,51.22,98,8,5.01,BR,2022-04-18 02:17:23
74,Puerto Ayora,-0.7393,-90.3518,75.16,95,100,7.2,EC,2022-04-18 02:17:23
75,Camacha,33.0833,-16.3333,58.42,82,40,19.57,PT,2022-04-18 02:17:24
76,Busselton,-33.65,115.3333,63.68,59,92,4.16,AU,2022-04-18 02:17:24
77,Dhamnod,22.2167,75.4667,85.28,36,0,8.32,IN,2022-04-18 02:17:24
78,Xining,36.6167,101.7667,39.15,42,7,2.53,CN,2022-04-18 02:15:38
79,Port Alfred,-33.5906,26.891,59.18,94,47,12.37,ZA,2022-04-18 02:17:25
80,Neuquen,-38.9516,-68.0591,57.09,77,0,0.0,AR,2022-04-18 02:17:09
81,Ulaangom,49.9811,92.0667,50.38,25,99,3.2,MN,2022-04-18 02:17:25
82,Port Blair,11.6667,92.75,86.04,66,20,3.44,IN,2022-04-18 02:17:26
83,Komsomolskiy,40.4272,71.7189,65.12,42,29,6.91,UZ,2022-04-18 02:17:26
84,Christchurch,-43.5333,172.6333,64.42,62,7,19.57,NZ,2022-04-18 02:17:26
85,Araouane,18.9048,-3.5265,72.39,25,0,10.85,ML,2022-04-18 02:17:26
86,Saint-Augustin,51.226,-58.6502,34.21,99,100,12.95,CA,2022-04-18 02:17:27
87,Hermanus,-34.4187,19.2345,59.81,85,99,9.55,ZA,2022-04-18 02:17:27
88,El Viejo,12.6633,-87.1672,81.46,72,94,4.88,NI,2022-04-18 02:17:27
89,Butterworth,5.3991,100.3638,86.04,83,20,5.75,MY,2022-04-18 02:17:28
90,Zhigansk,66.7697,123.3711,30.63,80,100,28.99,RU,2022-04-18 02:17:28
91,Praya,14.9215,-23.5087,70.34,78,75,11.5,CV,2022-04-18 02:17:28
92,Itarema,-2.9248,-39.9167,77.7,88,67,5.77,BR,2022-04-18 02:17:29
93,Boa Vista,2.8197,-60.6733,82.38,65,40,10.36,BR,2022-04-18 02:18:29
94,Constitucion,-35.3333,-72.4167,51.37,93,57,6.71,CL,2022-04-18 02:18:29
95,Mvuma,-19.2792,30.5283,59.0,93,100,6.24,ZW,2022-04-18 02:18:30
96,Goderich,43.7501,-81.7165,34.92,80,3,5.75,CA,2022-04-18 02:15:20
97,Deputatskiy,69.3,139.9,9.59,91,97,4.21,RU,2022-04-18 02:18:22
98,Dikson,73.5069,80.5464,0.95,98,100,1.63,RU,2022-04-18 02:18:30
99,Pacific Grove,36.6177,-121.9166,61.02,74,0,4.61,US,2022-04-18 02:18:31
100,Shahapur,19.45,73.3333,79.43,67,0,1.77,IN,2022-04-18 02:18:31
101,Oyama,36.3,139.8,65.59,57,100,5.61,JP,2022-04-18 02:18:32
102,Aragarcas,-15.8975,-52.2508,65.53,55,100,3.85,BR,2022-04-18 02:17:19
103,Malakal,9.5334,31.6605,84.07,46,9,4.34,SS,2022-04-18 02:18:32
104,Urucara,-2.5364,-57.76,74.05,98,100,1.54,BR,2022-04-18 02:18:32
105,Laguna,38.421,-121.4238,68.14,35,0,11.5,US,2022-04-18 02:17:34
106,Faanui,-16.4833,-151.75,81.07,72,5,10.49,PF,2022-04-18 02:18:33
107,Abeche,13.8292,20.8324,86.68,37,99,7.18,TD,2022-04-18 02:18:33
108,Waipawa,-41.4122,175.5153,59.92,64,60,13.15,NZ,2022-04-18 02:18:34
109,Sechura,-5.5569,-80.8222,69.33,72,39,16.4,PE,2022-04-18 02:18:34
110,Oxapampa,-10.5775,-75.4017,61.27,97,91,0.47,PE,2022-04-18 02:18:34
111,Kavieng,-2.5744,150.7967,85.95,65,39,13.73,PG,2022-04-18 02:18:34
112,Airai,-8.9266,125.4092,73.99,60,100,1.41,TL,2022-04-18 02:18:35
113,Aklavik,68.2191,-135.0107,19.85,85,91,11.25,CA,2022-04-18 02:18:35
114,High Level,58.5169,-117.136,17.71,67,100,11.5,CA,2022-04-18 02:18:35
115,Ahipara,-35.1667,173.1667,70.66,87,100,12.53,NZ,2022-04-18 02:18:36
116,Saint-Philippe,-21.3585,55.7679,74.21,89,14,9.46,RE,2022-04-18 02:15:49
117,Yar-Sale,66.8333,70.8333,15.04,86,100,8.77,RU,2022-04-18 02:18:36
118,East London,-33.0153,27.9116,64.58,83,5,13.53,ZA,2022-04-18 02:16:18
119,Bredasdorp,-34.5322,20.0403,60.62,91,100,3.65,ZA,2022-04-18 02:18:37
120,San Jose,37.3394,-121.895,62.53,57,75,9.22,US,2022-04-18 02:15:45
121,Abu Samrah,35.3029,37.1841,71.1,16,100,16.73,SY,2022-04-18 02:17:06
122,Necochea,-38.5473,-58.7368,57.76,87,93,9.13,AR,2022-04-18 02:18:37
123,Talnakh,69.4865,88.3972,4.21,93,100,5.21,RU,2022-04-18 02:18:38
124,Tabuk,17.4189,121.4443,83.21,64,97,2.33,PH,2022-04-18 02:18:38
125,Remedios,22.4947,-79.5458,76.12,75,2,5.75,CU,2022-04-18 02:18:38
126,Severo-Kurilsk,50.6789,156.125,32.07,82,100,7.58,RU,2022-04-18 02:18:38
127,Mehamn,71.0357,27.8492,39.52,96,100,13.47,NO,2022-04-18 02:18:39
128,Gigmoto,13.7796,124.39,83.39,64,16,10.54,PH,2022-04-18 02:18:39
129,Radhanpur,23.8333,71.6,79.86,63,46,5.23,IN,2022-04-18 02:18:40
130,Plettenberg Bay,-34.0527,23.3716,59.41,77,99,2.68,ZA,2022-04-18 02:18:40
131,Maltahohe,-24.8333,16.9833,61.9,64,3,11.54,NA,2022-04-18 02:18:40
132,Kodiak,57.79,-152.4072,40.51,65,100,13.8,US,2022-04-18 02:18:41
133,Ribeira Grande,38.5167,-28.7,58.03,69,83,20.85,PT,2022-04-18 02:18:41
134,Novikovo,51.1537,37.8879,46.44,96,100,4.16,RU,2022-04-18 02:19:41
135,Jieshi,22.8134,115.8257,70.95,79,100,10.33,CN,2022-04-18 02:19:42
136,Bengkulu,-3.8004,102.2655,82.02,78,61,2.62,ID,2022-04-18 02:19:42
137,Port Elizabeth,-33.918,25.5701,63.32,97,75,9.22,ZA,2022-04-18 02:19:42
138,Ostrovnoy,68.0531,39.5131,33.01,93,100,7.61,RU,2022-04-18 02:19:43
139,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.81,96,29,2.64,BR,2022-04-18 02:19:43
140,Lebanon,36.2081,-86.2911,57.65,68,100,4.61,US,2022-04-18 02:17:06
141,Ilulissat,69.2167,-51.1,-2.42,93,91,6.76,GL,2022-04-18 02:19:43
142,Aykhal,66.0,111.5,24.48,91,100,19.69,RU,2022-04-18 02:19:44
143,Yaan,7.3833,8.5667,77.16,78,100,8.55,NG,2022-04-18 02:19:44
144,Saint Anthony,45.0205,-93.218,34.93,92,100,8.05,US,2022-04-18 02:19:44
145,Zhuhai,22.2769,113.5678,71.38,83,40,12.66,CN,2022-04-18 02:19:45
146,Great Yarmouth,52.6083,1.7305,49.95,89,82,8.59,GB,2022-04-18 02:19:45
147,Skibbereen,51.55,-9.2667,43.11,81,100,8.32,IE,2022-04-18 02:19:45
148,Te Anau,-45.4167,167.7167,63.52,50,24,4.5,NZ,2022-04-18 02:18:31
149,Husavik,66.0449,-17.3389,38.39,98,100,3.44,IS,2022-04-18 02:19:46
150,Mocuba,-16.8392,36.9856,71.38,94,99,3.91,MZ,2022-04-18 02:19:46
151,Yellowknife,62.456,-114.3525,18.12,57,20,5.75,CA,2022-04-18 02:19:08
152,Luganville,-15.5333,167.1667,85.42,67,64,6.51,VU,2022-04-18 02:19:47
153,Tasiilaq,65.6145,-37.6368,31.51,95,100,8.3,GL,2022-04-18 02:19:47
154,Guerrero Negro,27.9769,-114.0611,60.21,82,87,18.23,MX,2022-04-18 02:19:47
155,Merauke,-8.4667,140.3333,83.91,72,100,0.76,ID,2022-04-18 02:19:48
156,Atuona,-9.8,-139.0333,79.74,79,12,18.3,PF,2022-04-18 02:19:48
157,Wexford,52.3342,-6.4575,43.12,89,75,8.03,IE,2022-04-18 02:19:48
158,Pueblo Nuevo,23.3833,-105.3833,60.53,30,42,1.95,MX,2022-04-18 02:19:49
159,Mareeba,-17.0,145.4333,83.44,65,58,6.44,AU,2022-04-18 02:19:49
160,Hilo,19.7297,-155.09,76.28,90,75,6.91,US,2022-04-18 02:19:49
161,Ferrol,43.4832,-8.2369,57.36,91,98,12.19,ES,2022-04-18 02:19:50
162,Iquique,-20.2208,-70.1431,60.84,75,44,2.71,CL,2022-04-18 02:19:50
163,Burnie,-41.0667,145.9167,61.92,61,100,7.16,AU,2022-04-18 02:17:56
164,Sal Rei,16.1833,-22.9167,68.9,79,19,10.89,CV,2022-04-18 02:19:50
165,Paamiut,61.994,-49.6678,25.07,85,93,0.34,GL,2022-04-18 02:17:17
166,Dingle,10.9995,122.6711,84.69,68,41,12.66,PH,2022-04-18 02:19:51
167,Gamba,-2.65,10.0,76.23,93,100,2.59,GA,2022-04-18 02:19:51
168,Qaqortoq,60.7167,-46.0333,25.9,88,40,1.61,GL,2022-04-18 02:19:51
169,Ellenabad,29.45,74.65,86.32,10,81,5.19,IN,2022-04-18 02:19:52
170,Tautira,-17.7333,-149.15,81.28,72,25,11.23,PF,2022-04-18 02:19:52
171,Thakurgaon,26.0333,88.4667,80.11,70,0,14.23,BD,2022-04-18 02:19:52
172,Cabo San Lucas,22.8909,-109.9124,83.5,50,40,11.5,MX,2022-04-18 02:19:53
173,Belmopan,17.25,-88.7667,84.58,84,83,4.41,BZ,2022-04-18 02:19:53
174,Khatanga,71.9667,102.5,7.77,93,92,14.45,RU,2022-04-18 02:19:53
175,Longyearbyen,78.2186,15.6401,21.04,86,100,4.61,SJ,2022-04-18 02:19:54
176,Dicabisagan,17.0818,122.4157,78.21,83,100,5.66,PH,2022-04-18 02:19:54
177,Vardo,70.3705,31.1107,39.51,92,99,10.04,NO,2022-04-18 02:19:54
178,Salalah,17.0151,54.0924,80.69,89,40,2.3,OM,2022-04-18 02:19:55
179,Nortelandia,-14.4547,-56.8028,72.48,86,22,1.28,BR,2022-04-18 02:19:55
180,Puerto Gaitan,4.3133,-72.0816,74.19,85,97,4.97,CO,2022-04-18 02:15:22
181,Duzce,40.8389,31.1639,50.32,98,96,2.35,TR,2022-04-18 02:20:55
182,Lazaro Cardenas,17.9583,-102.2,74.55,70,100,0.87,MX,2022-04-18 02:20:56
183,Caucaia,-3.7361,-38.6531,82.35,78,75,3.44,BR,2022-04-18 02:20:56
184,Starosubkhangulovo,53.1031,57.4423,39.43,86,68,1.97,RU,2022-04-18 02:20:56
185,Riyadh,24.6877,46.7219,66.34,22,1,5.01,SA,2022-04-18 02:16:51
186,Jalu,29.0331,21.5482,60.04,77,100,13.91,LY,2022-04-18 02:20:57
187,Sisimiut,66.9395,-53.6735,18.39,82,100,4.65,GL,2022-04-18 02:20:57
188,Kapuskasing,49.4169,-82.4331,30.2,51,20,4.61,CA,2022-04-18 02:20:01
189,Souillac,-20.5167,57.5167,73.78,94,75,1.14,MU,2022-04-18 02:20:58
190,La Rioja,42.25,-2.5,42.58,74,100,3.62,ES,2022-04-18 02:20:58
191,Codrington,-38.2667,141.9667,59.31,76,100,11.05,AU,2022-04-18 02:20:58
192,Colares,38.7992,-9.4469,59.29,75,32,25.99,PT,2022-04-18 02:20:59
193,Jagannathpur,22.2333,85.65,89.94,17,1,6.13,IN,2022-04-18 02:20:59
194,Lasa,46.6166,10.7002,35.37,71,3,2.95,IT,2022-04-18 02:20:59
195,Le Vauclin,14.5452,-60.8388,78.85,73,20,16.11,MQ,2022-04-18 02:21:00
196,Freeport,40.6576,-73.5832,46.38,44,0,16.11,US,2022-04-18 02:21:00
197,Banikoara,11.2985,2.4386,84.18,17,100,4.12,BJ,2022-04-18 02:21:00
198,Chokurdakh,70.6333,147.9167,14.13,88,36,4.83,RU,2022-04-18 02:21:01
199,Tongren,27.7172,109.1853,57.52,82,100,1.43,CN,2022-04-18 02:21:01
200,Redwater,33.3582,-94.2544,57.99,93,85,6.89,US,2022-04-18 02:21:02
201,Takoradi,4.8845,-1.7554,78.96,86,98,6.53,GH,2022-04-18 02:17:53
202,Namibe,-15.1961,12.1522,72.16,78,58,3.4,AO,2022-04-18 02:21:02
203,Harper,4.375,-7.7169,77.47,87,94,1.19,LR,2022-04-18 02:21:02
204,Hami,42.8,93.45,61.18,13,0,5.86,CN,2022-04-18 02:21:03
205,Sao Felix Do Xingu,-6.6447,-51.995,72.81,98,100,0.2,BR,2022-04-18 02:21:03
206,Moree,-29.4667,149.85,78.82,38,9,6.91,AU,2022-04-18 02:21:03
207,Jackson,42.4165,-122.8345,58.87,49,0,5.75,US,2022-04-18 02:20:22
208,Cap Malheureux,-19.9842,57.6142,76.46,91,17,5.99,MU,2022-04-18 02:21:04
209,Sobolevo,54.4299,31.8996,31.35,93,100,13.22,RU,2022-04-18 02:21:04
210,Bay Roberts,47.5999,-53.2648,53.35,91,100,5.99,CA,2022-04-18 02:21:04
211,Leningradskiy,69.3833,178.4167,21.11,90,95,6.02,RU,2022-04-18 02:21:05
212,Alta Floresta,-9.8756,-56.0861,71.56,97,96,2.51,BR,2022-04-18 02:21:05
213,Victoria,22.2855,114.1577,73.26,78,99,1.01,HK,2022-04-18 02:17:32
214,Carnarvon,-24.8667,113.6333,73.47,68,92,16.11,AU,2022-04-18 02:21:06
215,Urumqi,43.801,87.6005,67.15,7,0,13.42,CN,2022-04-18 02:21:06
216,Pokoynoye,44.8097,44.2517,45.21,89,56,6.46,RU,2022-04-18 02:21:06
217,Akcaabat,41.0212,39.5715,55.27,82,0,3.44,TR,2022-04-18 02:17:09
218,Calarasi,47.2544,28.3081,40.32,77,94,7.65,MD,2022-04-18 02:21:07
219,General Roca,-39.0333,-67.5833,64.62,44,100,11.5,AR,2022-04-18 02:21:07
220,Maarianhamina,60.0973,19.9348,33.66,100,0,3.44,AX,2022-04-18 02:21:07
221,Saint George,37.1041,-113.5841,79.39,11,0,11.5,US,2022-04-18 02:21:08
222,Carutapera,-1.195,-46.02,75.83,92,100,1.86,BR,2022-04-18 02:21:08
223,Altay,47.8667,88.1167,54.03,33,56,4.79,CN,2022-04-18 02:19:35
224,Eyl,7.9803,49.8164,80.8,82,29,8.32,SO,2022-04-18 02:22:09
225,Pervomayskoye,43.919,46.7102,52.88,71,27,17.72,RU,2022-04-18 02:22:09
226,Caravelas,-17.7125,-39.2481,77.85,64,100,10.67,BR,2022-04-18 02:22:09
227,Mandalgovi,45.7625,106.2708,47.88,27,0,14.29,MN,2022-04-18 02:22:10
228,Ilo,-17.6394,-71.3375,65.57,77,64,5.28,PE,2022-04-18 02:22:10
229,Teya,60.3778,92.6267,26.1,77,100,10.94,RU,2022-04-18 02:22:10
230,Coos Bay,43.3665,-124.2179,52.0,79,40,8.05,US,2022-04-18 02:22:11
231,Lata,40.1629,-8.3327,58.82,97,44,1.05,PT,2022-04-18 02:22:11
232,Matay,28.419,30.7792,79.68,11,99,3.76,EG,2022-04-18 02:22:11
233,Saldanha,-33.0117,17.9442,53.65,75,42,9.71,ZA,2022-04-18 02:22:12
234,Maymyo,22.0333,96.4667,79.97,47,7,4.74,MM,2022-04-18 02:17:14
